Title,Stage 1,Stage 2,Stage 2.7,Stage 3,Stage 4,Last Commit,Classification
mass-proxy-revocation,2022-12-01,NA,NA,NA,NA,2022-12-01,API Change
iterator-unique,2024-02-08,NA,NA,NA,NA,2024-02-08,API Change
cancel-api,2017-09-13,NA,NA,NA,NA,2017-11-15,API Change
array,2024-10-09,NA,NA,NA,NA,2024-10-10,API Change
policy-maps,2022-07-21,NA,NA,NA,NA,2022-08-21,API Change
debug,2020-09-25,NA,NA,NA,NA,2020-11-17,API Change
import-sync,2024-12-05,NA,NA,NA,NA,2024-12-05,API Change
array-filtering,2019-12-12,NA,NA,NA,NA,2021-07-20,API Change
proto-pollution,2022-05-25,NA,NA,NA,NA,2023-08-29,API Change
stacks,2017-01-25,NA,NA,NA,NA,2024-02-08,API Change
emitter,2019-06-05,NA,NA,NA,NA,2019-06-11,API Change
decimal,2020-02-10,NA,NA,NA,NA,2024-12-11,API Change
from-string,2018-03-21,NA,NA,NA,NA,2018-03-21,API Change
array-unique,2020-07-26,NA,NA,NA,NA,2022-03-14,API Change
concurrency-control,2024-08-07,NA,NA,NA,NA,2024-10-25,API Change
pick-omit,2022-07-22,NA,NA,NA,NA,2022-08-05,API Change
error-cause,2020-09-24,2020-11-19,NA,2021-03-10,2021-10-26,2021-10-26,API Change
object-values-entries,NA,2015-09-24,NA,2015-11-17,2016-03-29,2016-03-29,API Change
nonblocking,2017-06-06,2017-09-26,NA,2020-08-28,2023-05-15,2021-03-31,API Change
string-padding,NA,NA,NA,2015-11-17,2016-05-25,2016-05-25,API Change
iterator-helpers,2019-01-31,2019-07-24,NA,2022-12-01,2024-10-08,2024-10-08,API Change
usv-string,2022-08-10,2022-09-13,NA,2022-11-30,2023-05-15,2023-05-15,API Change
array-includes,2014-07-23,2014-11-25,NA,2015-08-11,2015-11-17,2015-11-17,API Change
weakrefs,2016-04-01,2018-03-23,NA,2019-06-07,2020-12-16,2022-01-24,API Change
object-from-entries,NA,2018-07-29,NA,2018-07-25,2019-01-29,2019-01-29,API Change
async-await,2014-04-09,2015-08-02,NA,2015-09-29,2015-10-08,2020-11-19,API Change
atomics,2015-09-24,2016-01-28,NA,2016-12-02,2017-02-09,2017-02-09,API Change
allsettled,2018-09-27,2019-01-30,NA,2019-03-27,2019-07-24,2019-12-09,API Change
bigint,2017-01-27,2017-03-23,NA,2017-07-27,2019-09-30,2019-09-30,API Change
promise-any,2019-03-27,2019-07-24,NA,2019-10-04,2020-07-21,2020-08-10,API Change
symbol-description,2017-07-26,2018-01-25,NA,2018-05-22,2018-11-28,2018-11-28,API Change
change-array-by-copy,2021-04-20,2021-09-03,NA,2022-03-31,2023-03-05,2023-08-01,API Change
array-grouping,2021-07-15,2021-10-27,NA,2023-08-01,2023-11-27,2023-11-27,API Change
object-has,NA,2021-04-20,NA,2021-05-25,2021-08-31,2021-08-31,API Change
finally,NA,2016-07-29,NA,2017-07-26,2018-01-24,2018-01-29,API Change
arraybuffer-transfer,NA,2022-12-02,NA,2023-02-01,2024-07-12,2024-07-12,API Change
matchall,2015-10-05,2017-09-28,NA,2018-01-24,2019-03-26,2018-12-11,API Change
find-last,2021-02-01,2021-03-11,NA,2021-07-14,2022-06-06,2022-06-06,API Change
at,NA,2020-09-08,NA,2020-09-23,2022-01-24,2022-01-24,API Change
symbols-weakmap,2020-06-02,2021-05-14,NA,2022-06-07,2023-01-30,2022-06-07,API Change
flat,2017-07-28,2017-09-27,NA,2017-11-30,2019-01-29,2019-01-29,API Change
set-methods,NA,NA,NA,2022-11-30,2024-06-25,2024-07-06,API Change
object-gopds,NA,2016-01-27,NA,2016-01-29,2016-05-25,2016-07-30,API Change
resizable,2020-07-19,2020-09-29,NA,2021-05-26,2023-10-24,2023-10-24,API Change
escape,2021-01-28,2023-09-26,NA,2024-07-29,2025-02-18,2025-02-18,API Change
try,2016-11-29,2024-03-26,2024-04-08,2024-07-03,2024-10-09,2024-10-09,API Change
promise-defer,2023-03-24,2023-05-18,NA,2023-07-12,2023-12-12,2023-12-12,API Change
replace-all,2017-11-29,2019-03-27,NA,2019-10-03,2020-06-27,2021-02-19,API Change
trims,2016-04-29,2017-06-12,NA,2018-02-08,2019-12-30,2019-12-30,API Change
clone,NA,NA,NA,NA,NA,2014-01-21,API Change
string-trim-characters,NA,NA,NA,NA,NA,2021-07-13,API Change
is-callable-is-constructor,NA,NA,NA,NA,NA,2020-11-06,API Change
