Title,Stage 1,Stage 2,Stage 2.7,Stage 3,Stage 4,Last Commit,Classification
module-expressions,2020-12-11,2021-10-29,NA,NA,NA,2022-12-19,Syntactic Change
regexp-buffer-boundaries,2021-10-28,2021-12-16,NA,NA,NA,2022-05-28,Syntactic Change
json-parse-immutable,NA,2022-07-28,NA,NA,NA,2022-07-28,Syntactic Change
throw-expressions,2017-09-12,2017-09-27,NA,NA,NA,2024-01-20,Syntactic Change
censorship,2018-05-03,2019-03-15,NA,NA,NA,2019-12-02,Syntactic Change
discards,2024-01-17,2024-06-13,NA,NA,NA,2024-06-12,Syntactic Change
record-tuple,2019-10-01,2020-07-22,NA,NA,NA,2023-12-13,Syntactic Change
module-declarations,2021-07-01,2023-04-21,NA,NA,NA,2023-04-21,Syntactic Change
extractors,2022-09-15,2022-10-09,NA,NA,NA,2024-09-27,Syntactic Change
function-sent,NA,2019-07-24,NA,NA,NA,2019-08-18,Syntactic Change
destructure-private,2021-09-05,2021-10-30,NA,NA,NA,2024-07-15,Syntactic Change
pipeline,2017-12-26,2021-08-31,NA,NA,NA,2023-12-01,Syntactic Change
