tag,Stage 1,Stage 4,,tag,Stage 1,Stage 4,,tag,Stage 4
#atomic,NA,NA,,,,,,,
#backreference,NA,NA,,,,,,,
#backward_compatibility,NA,NA,,,,,,,
#bigint,2018-01-29,NA,,,,,,,
#binding,2024-01-17,NA,,,,,,,
#binding,2021-11-11,NA,,,,,,,
#binding,2018-07-25,NA,,,,,,,
#bundler,2021-07-01,NA,,,,,,,
#cache,2021-10-29,NA,,,,,,,
#caching,2021-12-18,NA,,,,,,,
#calendar,2017-05-03,NA,,,,,,,
#callback,2023-02-01,NA,,,,,,,
#callback,that,NA,,,,,,,
#callbacks,NA,NA,,,,,,,
#calling_convention,2017-11-17,NA,,,,,,,
#chaining,2019-07-12,NA,,,,,,,
#class,NA,NA,,,,,,,
#class,2021-09-05,NA,,,,,,,
#class,2017-10-12,NA,,,,,,,
#cloning,NA,NA,,,,,,,
#communication,2018-06-12,NA,,,,,,,
#composite_keys,2019-01-27,NA,,,,,,,
#compound,2016-03-29,NA,,,,,,,
#concurrency,NA,NA,,,,,,,
#configurable,NA,NA,,,,,,,
#consumption,2024-08-07,NA,,,,,,,
#cryptography,2019-10-03,NA,,,,,,,
#date_time,NA,NA,,,,,,,
#declaration,2017-05-16,NA,,,,,,,
#decoding,2023-04-06,NA,,,,,,,
#decorator,2022-07-22,NA,,,,,,,
#decorators,NA,NA,,,,,,,
#deletable_properties,NA,NA,,,,,,,
#derived_class,2019-01-31,NA,,,,,,,
#destructuring,2022-01-23,NA,,,,,,,
#destructuring,2017-11-30,NA,,,,,,,
#destructuring,NA,NA,,,,,,,
#destructuring,NA,NA,,,,,,,
#destructuring,NA,NA,,,,,,,
#differentiation,2022-07-21,NA,,,,,,,
#directive,2023-11-29,NA,,,,,,,
#domain_specific_language,2017-12-05,NA,,,,,,,
#duplicates,2024-02-08,NA,,,,,,,
#environment,2020-09-25,NA,,,,,,,
#equality,2020-06-04,NA,,,,,,,
#ergonomic,2018-03-24,NA,,,,,,,
#ergonomic,2018-01-26,NA,,,,,,,
#ergonomics,NA,NA,,,,,,,
#error_handling,2017-09-12,NA,,,,,,,
#error_handling,2017-01-25,NA,,,,,,,
#error_handling,NA,NA,,,,,,,
#error_handling,NA,NA,,,,,,,
#error_handling,NA,NA,,,,,,,
#escape,2021-12-04,NA,,,,,,,
#evaluation,2016-12-14,NA,,,,,,,
#event,2015-05-01,NA,,,,,,,
#exception,NA,NA,,,,,,,
#expression,2023-10-02,NA,,,,,,,
#filter,2019-12-12,NA,,,,,,,
#framework,NA,NA,,,,,,,
#functional,2017-09-13,NA,,,,,,,
#generator,2023-09-27,NA,,,,,,,
#generic,NA,NA,,,,,,,
#generic,NA,NA,,,,,,,
#getter,2022-07-22,NA,,,,,,,
#helper,NA,NA,,,,,,,
#identifier,2023-04-01,NA,,,,,,,
#immutable,2016-04-15,NA,,,,,,,
#inheritance,NA,NA,,,,,,,
#initialization,NA,NA,,,,,,,
#integer,2020-04-01,NA,,,,,,,
#internationalization,2023-09-28,NA,,,,,,,
#iterator,2019-01-15,NA,,,,,,,
#iterator,2017-05-21,NA,,,,,,,
#key_value_pairs,NA,NA,,,,,,,
#key_value_pairs,2019-10-01,NA,,,,,,,
#lambda,2019-10-21,NA,,,,,,,
#last,2018-01-13,NA,,,,,,,
#map,2019-09-14,NA,,,,,,,
#map,NA,NA,,,,,,,
#math,2020-02-10,NA,,,,,,,
#math,2023-06-23,NA,,,,,,,
#memoization,NA,NA,,,,,,,
#memory,2019-06-05,NA,,,,,,,
#memory_management,2018-07-24,NA,,,,,,,
#memory_management,2021-09-01,NA,,,,,,,
#memory_management,2022-07-21,NA,,,,,,,
#memory_management,NA,NA,,,,,,,
#memory_management,NA,NA,,,,,,,
#memory_management,2020-02-07,NA,,,,,,,
#metadata,2024-02-08,NA,,,,,,,
#modifier,NA,NA,,,,,,,
#modularity,2017-01-30,NA,,,,,,,
#module,NA,NA,,,,,,,
#modules,2020-04-07,NA,,,,,,,
#namespace,2020-12-29,NA,,,,,,,
#namespace_object,2021-01-28,NA,,,,,,,
#network,2019-10-05,NA,,,,,,,
#number,2018-01-25,NA,,,,,,,
#numeric,2021-09-03,NA,,,,,,,
#numeric,2016-07-27,NA,,,,,,,
#numeric,2020-03-15,NA,,,,,,,
#optimization,NA,NA,,,,,,,
#parameter,2023-04-27,NA,,,,,,,
#parse,2018-09-28,NA,,,,,,,
#pattern,2018-05-25,NA,,,,,,,
#pattern_matching,2022-09-15,NA,,,,,,,
#performance,2023-02-18,NA,,,,,,,
#performance,2018-09-28,NA,,,,,,,
#performance,2024-11-30,NA,,,,,,,
#performance,2024-02-13,NA,,,,,,,
#performance,2024-10-09,NA,,,,,,,
#performance,2022-06-08,NA,,,,,,,
#performance,2022-06-06,NA,,,,,,,
#performance,NA,NA,,,,,,,
#performance,NA,NA,,,,,,,
#piping,2017-12-26,NA,,,,,,,
#primitives,2019-10-01,NA,,,,,,,
#private_fields,2022-01-24,NA,,,,,,,
#private_methods,2019-01-31,NA,,,,,,,
#promise,NA,NA,,,,,,,
#promise,2021-01-27,NA,,,,,,,
#promise,2024-08-08,NA,,,,,,,
#promise,2022-03-31,NA,,,,,,,
#promise,2020-07-23,NA,,,,,,,
#promise,2016-06-06,NA,,,,,,,
#property,NA,NA,,,,,,,
#property,2017-09-27,NA,,,,,,,
#property,2023-07-16,NA,,,,,,,
#property,NA,NA,,,,,,,
#raw_string_literal,2024-08-19,NA,,,,,,,
#readability,2021-08-11,NA,,,,,,,
#readonly,2019-10-05,NA,,,,,,,
#readonly,2021-11-11,NA,,,,,,,
#realm,2020-12-11,NA,,,,,,,
#realm,2022-12-01,NA,,,,,,,
#record,NA,NA,,,,,,,
#record,2020-06-03,NA,,,,,,,
#reflection,2022-05-25,NA,,,,,,,
#reflection,NA,NA,,,,,,,
#regex,2018-05-22,NA,,,,,,,
#registry,2024-12-05,NA,,,,,,,
#resource_management,2018-09-21,NA,,,,,,,
#resource_management,2017-09-13,NA,,,,,,,
#runtime,NA,NA,,,,,,,
#scope,2019-10-03,NA,,,,,,,
#security,2019-06-06,NA,,,,,,,
#security,2018-05-03,NA,,,,,,,
#security,2024-12-05,NA,,,,,,,
#security,NA,NA,,,,,,,
#serialization,2024-04-10,NA,,,,,,,
#serialization,NA,NA,,,,,,,
#set,NA,NA,,,,,,,
#standardization,2023-09-28,NA,,,,,,,
#strict_enforcement,2024-04-12,NA,,,,,,,
#string,NA,NA,,,,,,,
#string,2022-02-01,NA,,,,,,,
#string,2018-03-21,NA,,,,,,,
#string_manipulation,2022-01-25,NA,,,,,,,
#string_manipulation,2021-12-31,NA,,,,,,,
#string_manipulation,NA,NA,,,,,,,
#subsequences,2023-12-11,NA,,,,,,,
#synchronization,2023-09-27,NA,,,,,,,
#syntactic_sugar,NA,NA,,,,,,,
#tokenise,2017-11-29,NA,,,,,,,
#tracking,2024-04-11,NA,,,,,,,
#type,2022-03-31,NA,,,,,,,
#type,NA,NA,,,,,,,
#typedarray,2020-02-06,NA,,,,,,,
#uint8,2023-07-15,NA,,,,,,,
#unicode,2021-10-28,NA,,,,,,,
#unique,2020-07-26,NA,,,,,,,
#visibility,2019-04-08,NA,,,,,,,
#wait,2024-02-13,NA,,,,,,,
#wait,2018-11-28,NA,,,,,,,
#wait,2020-08-25,NA,,,,,,,
#weakref,2020-07-06,NA,,,,,,,
#web_compatibility,2020-02-06,NA,,,,,,,
#whitespace,2021-10-28,NA,,,,,,,
