Title,Stage 1,Stage 2,Stage 2.7,Stage 3,Stage 4,Last Commit,Classification
resource-management,2018-07-24,2019-07-25,NA,2023-01-03,NA,2024-06-15
source-phase-imports,2021-12-18,2022-07-19,NA,2023-07-24,NA,2025-02-08
